date,region,temp_max,temp_min,temp_mean,precipitation,wind_speed,solar_radiation,evapotranspiration
2015-07-31,Nakuru,22.5,14.9,18.2,0.6,6.6,20.98,3.97
2015-08-01,Nakuru,22.5,11.8,16.9,2.9,6.5,18.5,3.46
2015-08-02,Nakuru,22.0,12.5,16.9,2.2,8.0,20.47,3.78
2015-08-03,Nakuru,22.9,13.8,17.8,0.6,12.2,20.84,4.09
2015-08-04,Nakuru,23.3,12.4,17.8,0.0,12.0,23.42,4.53
2015-08-05,Nakuru,23.0,11.8,17.3,0.0,10.7,22.15,4.28
2015-08-06,Nakuru,21.8,12.0,17.2,0.0,8.4,20.85,3.95
2015-08-07,Nakuru,21.7,10.0,16.4,0.0,9.5,22.27,4.1
2015-08-08,Nakuru,22.4,13.5,17.5,0.1,8.4,21.0,4.04
2015-08-09,Nakuru,23.1,11.8,17.5,0.0,10.1,21.6,4.16
2015-08-10,Nakuru,23.2,13.4,17.9,0.0,11.9,22.36,4.33
2015-08-11,Nakuru,24.5,10.6,18.0,0.0,11.4,24.76,4.88
2015-08-12,Nakuru,24.5,11.2,17.8,0.0,9.4,25.02,4.87
2015-08-13,Nakuru,23.7,11.4,17.7,0.0,10.6,24.19,4.66
2015-08-14,Nakuru,24.0,10.9,17.8,0.0,10.1,23.05,4.55
2015-08-15,Nakuru,24.8,10.6,18.0,0.0,10.4,25.44,4.93
2015-08-16,Nakuru,24.3,11.1,17.5,0.0,14.5,25.68,5.3
2015-08-17,Nakuru,24.8,11.0,17.9,0.0,13.4,24.9,5.03
2015-08-18,Nakuru,23.8,13.2,18.5,0.0,11.0,21.27,4.35
2015-08-19,Nakuru,24.5,12.9,19.1,0.0,10.5,23.87,4.7
2015-08-20,Nakuru,23.8,12.4,18.3,0.0,10.1,21.57,4.26
2015-08-21,Nakuru,22.9,13.2,17.8,0.7,8.0,20.19,3.92
2015-08-22,Nakuru,24.5,9.8,17.3,0.0,9.1,24.35,4.75
2015-08-23,Nakuru,24.7,10.5,17.3,0.0,10.0,27.44,5.36
2015-08-24,Nakuru,24.2,9.3,17.1,0.0,10.6,25.13,5.09
2015-08-25,Nakuru,24.0,11.0,17.3,0.0,11.6,23.67,4.78
2015-08-26,Nakuru,24.1,10.9,17.6,0.0,10.9,23.48,4.77
2015-08-27,Nakuru,25.0,10.0,18.0,0.0,8.7,25.92,5.09
2015-08-28,Nakuru,25.0,10.6,17.9,0.0,9.7,26.07,5.12
2015-08-29,Nakuru,24.3,12.3,18.1,0.0,9.6,24.78,4.77
2015-08-30,Nakuru,23.7,11.6,17.9,0.0,8.9,21.36,4.27
2015-08-31,Nakuru,24.3,14.6,18.6,0.0,13.2,21.24,4.3
2015-09-01,Nakuru,24.3,11.2,18.1,0.0,9.4,23.68,4.65
2015-09-02,Nakuru,25.1,12.8,18.5,0.0,11.1,21.97,4.29
2015-09-03,Nakuru,23.2,13.2,17.4,0.3,10.8,18.89,3.65
2015-09-04,Nakuru,22.6,11.8,16.6,1.3,9.4,20.62,3.86
2015-09-05,Nakuru,22.8,11.6,17.2,0.1,8.9,20.38,3.91
2015-09-06,Nakuru,22.8,11.8,17.3,0.3,11.9,20.76,4.02
2015-09-07,Nakuru,25.6,10.1,17.8,0.0,12.3,25.91,5.19
2015-09-08,Nakuru,25.1,10.6,17.9,0.0,9.8,26.79,5.23
2015-09-09,Nakuru,25.0,10.7,18.1,0.0,9.1,26.39,5.18
2015-09-10,Nakuru,24.0,10.9,17.8,0.0,10.2,25.58,5.08
2015-09-11,Nakuru,25.5,10.5,18.1,0.0,10.7,27.3,5.43
2015-09-12,Nakuru,24.8,10.7,18.1,0.0,9.8,25.41,5.0
2015-09-13,Nakuru,24.2,11.5,17.9,0.0,11.4,24.81,5.0
2015-09-14,Nakuru,24.4,11.4,18.4,0.0,9.4,25.77,5.09
2015-09-15,Nakuru,25.0,11.4,18.6,0.0,10.5,24.48,4.98
2015-09-16,Nakuru,25.1,10.8,18.2,0.0,11.3,25.46,5.13
2015-09-17,Nakuru,26.4,10.8,18.6,0.0,13.4,24.64,5.24
2015-09-18,Nakuru,24.6,11.8,18.4,0.0,10.0,24.54,4.82
2015-09-19,Nakuru,25.8,11.1,18.5,0.0,10.7,26.7,5.49
2015-09-20,Nakuru,25.7,12.6,18.9,0.0,11.2,26.81,5.77
2015-09-21,Nakuru,26.3,11.9,19.0,0.0,11.9,26.67,5.64
2015-09-22,Nakuru,25.3,11.5,18.8,0.0,9.1,26.37,5.3
2015-09-23,Nakuru,26.0,11.9,19.1,0.0,9.4,25.64,5.17
2015-09-24,Nakuru,25.3,11.8,19.0,0.0,9.0,25.1,4.91
2015-09-25,Nakuru,25.4,12.2,19.5,0.0,10.2,22.98,4.82
2015-09-26,Nakuru,25.0,12.2,19.1,0.0,8.5,23.94,4.86
2015-09-27,Nakuru,25.0,11.7,19.1,0.0,8.8,25.15,5.03
2015-09-28,Nakuru,26.9,11.3,19.5,0.0,10.2,26.21,5.47
2015-09-29,Nakuru,26.2,12.4,19.5,0.0,8.0,26.6,5.32
2015-09-30,Nakuru,26.9,12.6,19.9,0.0,8.1,27.14,5.43
2015-10-01,Nakuru,26.1,12.0,19.2,0.0,10.1,24.2,4.84
2015-10-02,Nakuru,25.3,14.6,19.7,0.0,9.8,24.34,4.93
2015-10-03,Nakuru,26.7,13.4,20.2,0.0,10.0,27.26,5.61
2015-10-04,Nakuru,24.9,12.8,18.8,0.7,6.6,22.6,4.39
2015-10-05,Nakuru,26.3,13.0,19.1,0.0,7.6,26.73,5.3
2015-10-06,Nakuru,27.0,10.7,19.1,0.0,10.4,26.56,5.52
2015-10-07,Nakuru,24.6,13.6,18.5,0.6,14.8,24.29,5.11
2015-10-08,Nakuru,25.2,13.8,19.4,0.0,10.8,25.35,5.15
2015-10-09,Nakuru,24.4,12.3,18.5,0.0,9.5,23.64,4.61
2015-10-10,Nakuru,24.8,12.7,18.5,1.1,8.3,24.6,4.82
2015-10-11,Nakuru,26.6,11.7,19.1,0.1,8.3,25.19,5.05
2015-10-12,Nakuru,25.9,12.0,19.4,0.1,9.0,27.03,5.34
2015-10-13,Nakuru,24.8,14.9,19.2,1.3,8.2,22.58,4.43
2015-10-14,Nakuru,24.2,12.1,18.7,0.7,8.0,22.46,4.42
2015-10-15,Nakuru,25.5,13.7,19.8,0.0,11.7,24.23,4.98
2015-10-16,Nakuru,24.4,13.7,19.3,2.2,7.1,22.76,4.49
2015-10-17,Nakuru,21.4,14.6,17.8,1.9,7.4,17.23,3.27
2015-10-18,Nakuru,23.0,13.5,18.3,6.3,6.8,21.69,4.14
2015-10-19,Nakuru,22.9,14.2,18.3,6.7,8.2,19.68,3.77
2015-10-20,Nakuru,23.6,14.1,19.0,0.0,8.7,23.05,4.45
2015-10-21,Nakuru,24.4,16.1,20.2,0.0,7.4,24.53,4.81
2015-10-22,Nakuru,24.4,14.2,19.3,3.3,12.1,22.68,4.41
2015-10-23,Nakuru,22.2,14.9,18.0,13.2,6.1,21.08,3.94
2015-10-24,Nakuru,23.1,13.4,18.4,3.9,7.4,21.64,4.15
2015-10-25,Nakuru,23.6,12.0,18.0,6.3,8.4,22.31,4.21
2015-10-26,Nakuru,22.7,12.7,17.5,3.3,11.7,19.52,3.7
2015-10-27,Nakuru,22.4,14.7,17.9,7.2,6.4,20.69,3.88
2015-10-28,Nakuru,23.5,13.5,18.4,0.0,8.6,22.9,4.38
2015-10-29,Nakuru,22.2,13.6,17.7,6.3,9.3,19.32,3.65
2015-10-30,Nakuru,22.8,14.5,18.4,1.6,8.9,20.34,3.92
2015-10-31,Nakuru,23.1,12.9,18.1,1.1,8.2,21.37,4.03
2015-11-01,Nakuru,22.9,14.7,17.9,0.4,7.3,20.68,3.92
2015-11-02,Nakuru,23.4,13.1,17.8,0.7,7.1,20.22,3.92
2015-11-03,Nakuru,23.1,12.4,17.4,0.7,10.4,19.14,3.62
2015-11-04,Nakuru,23.7,13.3,18.3,2.1,7.7,21.88,4.24
2015-11-05,Nakuru,20.7,13.1,17.5,8.4,7.3,19.82,3.62
2015-11-06,Nakuru,23.2,14.1,18.3,3.2,10.4,22.18,4.22
2015-11-07,Nakuru,22.8,14.7,18.4,1.5,8.7,22.66,4.33
2015-11-08,Nakuru,22.8,12.7,17.9,7.3,9.7,21.75,4.07
2015-11-09,Nakuru,22.6,13.2,17.4,7.4,5.2,19.24,3.66
2015-11-10,Nakuru,22.3,14.3,17.9,2.5,6.7,19.68,3.73
2015-11-11,Nakuru,18.0,14.3,16.3,6.8,5.0,10.22,1.88
2015-11-12,Nakuru,22.2,12.8,17.0,17.0,9.8,20.63,3.77
2015-11-13,Nakuru,22.9,11.8,17.7,1.3,8.2,23.08,4.36
2015-11-14,Nakuru,22.2,14.8,17.4,5.3,11.5,18.74,3.45
2015-11-15,Nakuru,22.3,14.5,17.4,12.9,10.6,20.38,3.78
2015-11-16,Nakuru,20.8,14.9,17.1,3.6,10.6,16.11,2.94
2015-11-17,Nakuru,20.7,14.6,16.8,5.7,11.1,14.7,2.74
2015-11-18,Nakuru,22.7,13.2,17.7,5.9,12.3,21.75,4.08
2015-11-19,Nakuru,22.3,14.7,17.7,9.9,9.4,19.26,3.61
2015-11-20,Nakuru,22.9,14.1,17.7,3.6,10.2,21.27,3.99
2015-11-21,Nakuru,20.1,14.0,16.9,11.0,6.6,17.22,3.16
2015-11-22,Nakuru,22.0,14.6,17.4,5.2,11.9,19.83,3.7
2015-11-23,Nakuru,22.8,12.4,17.7,2.5,10.4,23.01,4.32
2015-11-24,Nakuru,22.4,14.4,18.1,1.1,7.7,21.13,3.93
2015-11-25,Nakuru,21.4,14.7,17.7,3.4,10.7,17.55,3.28
2015-11-26,Nakuru,21.6,14.2,17.3,1.8,10.4,17.51,3.23
2015-11-27,Nakuru,20.2,15.3,16.7,9.6,9.5,12.59,2.41
2015-11-28,Nakuru,22.0,12.5,16.9,2.4,11.3,21.99,3.97
2015-11-29,Nakuru,21.9,13.0,16.9,6.9,9.4,19.62,3.54
2015-11-30,Nakuru,21.7,13.7,17.3,5.4,7.3,18.96,3.56
2015-12-01,Nakuru,21.6,13.0,17.3,0.7,9.4,18.35,3.43
2015-12-02,Nakuru,22.2,12.9,17.3,4.3,8.6,21.52,4.01
2015-12-03,Nakuru,20.6,14.0,17.1,3.6,9.1,19.03,3.45
2015-12-04,Nakuru,21.8,14.2,17.1,1.6,13.2,19.31,3.65
